mean_pixel,std_pixel,dark_ratio,skewness,kurtosis,entropy,dct_h_0,dct_h_1,dct_h_2,dct_h_3,dct_h_4,dct_v_0,dct_v_1,dct_v_2,dct_v_3,dct_v_4,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,q_tl_mean,q_tl_std,q_tr_mean,q_tr_std,q_bl_mean,q_bl_std,q_br_mean,q_br_std,label,label_name
150.3349,112.111275,0.41473388671875,-0.3494104848985365,-1.693693704439926,0.9789194417451007,-26.483623504638672,139.2515869140625,1.9476850032806396,142.79995727539062,-31.429828643798828,26.4832820892334,129.02536010742188,-10.140315055847168,183.66549682617188,17.350637435913086,6.103515625e-05,0.003173828125,0.00970458984375,0.0841064453125,0.059326171875,0.35595703125,0.0279541015625,0.019287109375,0.4193115234375,0.0211181640625,152.29052734375,111.5751724243164,154.10498046875,111.19696044921875,143.484619140625,113.1185302734375,151.45947265625,112.24944305419922,1,malware
150.66644,111.56647,0.4136962890625,-0.35355197827210116,-1.6832458262334105,0.9784006521327451,-19.382709503173828,132.8987274169922,-16.45047378540039,161.40805053710938,37.966163635253906,39.61430740356445,182.57891845703125,-34.17063903808594,137.50851440429688,-32.746646881103516,6.103515625e-05,0.00396728515625,0.0101318359375,0.0899658203125,0.0596923828125,0.35845947265625,0.0308837890625,0.01861572265625,0.40618896484375,0.02203369140625,151.120361328125,111.5574951171875,158.061279296875,109.89335632324219,149.26953125,111.2921371459961,144.214599609375,113.05874633789062,1,malware
148.81305,112.74936,0.4222412109375,-0.3262654089404157,-1.713609492466909,0.982482678397872,9.572614669799805,186.55047607421875,8.408562660217285,99.7921371459961,-5.6004815101623535,35.95989990234375,164.36383056640625,4.990755081176758,134.799072265625,20.288122177124023,0.0001220703125,0.0028076171875,0.009033203125,0.0787353515625,0.05413818359375,0.35308837890625,0.026611328125,0.0177001953125,0.43756103515625,0.02020263671875,149.118408203125,112.8071060180664,154.26025390625,111.51710510253906,146.396240234375,112.76106262207031,145.477294921875,113.69417572021484,1,malware
148.52368,112.35685,0.4228515625,-0.32005773719012454,-1.713443892546416,0.9827576999984438,-37.41067123413086,112.11263275146484,1.6465247869491577,154.96591186523438,-20.652671813964844,-6.7097063064575195,188.73431396484375,-6.746896743774414,153.08975219726562,-19.75861930847168,0.0,0.00250244140625,0.009521484375,0.08477783203125,0.057373046875,0.36083984375,0.02703857421875,0.01922607421875,0.41680908203125,0.02191162109375,148.380126953125,111.09034729003906,148.65576171875,112.62519836425781,141.707763671875,113.7412109375,155.35107421875,111.53736114501953,1,malware
151.67358,113.94282,0.39251708984375,-0.401642204764431,-1.6887013798010304,0.9664047188893169,-41.12230682373047,253.74163818359375,-39.258262634277344,176.43682861328125,-19.96406364440918,-6.553301811218262,171.212646484375,28.798763275146484,157.8906707763672,-31.478120803833008,0.0,0.0009765625,0.00848388671875,0.0665283203125,0.05206298828125,0.36676025390625,0.022216796875,0.0169677734375,0.4598388671875,0.00616455078125,151.121826171875,113.67190551757812,149.2421875,113.93077087402344,147.359619140625,114.9762954711914,158.970703125,112.8393783569336,1,malware
155.50189,110.780106,0.38983154296875,-0.43499637287443804,-1.6154702066310864,0.964690751216815,-15.200906753540039,134.19126892089844,23.743104934692383,190.76702880859375,25.15388298034668,43.14335250854492,93.15278625488281,-73.65868377685547,160.28439331054688,17.332843780517578,0.0,0.00341796875,0.009521484375,0.08392333984375,0.0548095703125,0.35760498046875,0.0318603515625,0.0206298828125,0.41473388671875,0.02349853515625,158.939453125,108.7979965209961,163.517578125,108.6451187133789,145.986328125,112.69712829589844,153.564208984375,112.14790344238281,1,malware
151.55426,111.727585,0.40606689453125,-0.3704810749845804,-1.6746049756317627,0.9743890551187099,-22.521146774291992,130.17190551757812,13.365409851074219,127.45404052734375,-27.376277923583984,42.26173400878906,134.08984375,-38.50276565551758,140.81634521484375,-68.85755920410156,0.0,0.0029296875,0.00994873046875,0.0799560546875,0.0579833984375,0.36956787109375,0.02886962890625,0.02093505859375,0.40948486328125,0.02032470703125,150.358154296875,111.20358276367188,158.4912109375,110.60433959960938,148.828857421875,112.46514892578125,148.538818359375,112.33068084716797,1,malware
147.62384,112.91057,0.42523193359375,-0.30701767483379977,-1.7293212752826306,0.9838092498785918,-5.524767875671387,202.60250854492188,5.7422566413879395,139.72601318359375,-9.327436447143555,49.79942321777344,165.2349090576172,-16.54983901977539,166.3170623779297,2.0925967693328857,6.103515625e-05,0.00335693359375,0.0103759765625,0.0821533203125,0.0570068359375,0.3465576171875,0.02728271484375,0.01678466796875,0.43280029296875,0.02362060546875,146.574462890625,112.15813446044922,156.520751953125,111.21593475341797,143.53466796875,113.1294937133789,143.865478515625,114.61834716796875,1,malware
151.5351,111.55015,0.410400390625,-0.36839348972392877,-1.6714188879618184,0.976710232283357,4.274940490722656,98.09548950195312,12.67801570892334,162.95965576171875,16.907733917236328,-15.126136779785156,167.4193115234375,-3.0194575786590576,146.51535034179688,11.352880477905273,0.0,0.00244140625,0.00946044921875,0.07867431640625,0.05841064453125,0.37298583984375,0.02960205078125,0.01995849609375,0.40673828125,0.021728515625,147.90966796875,111.62281036376953,152.4443359375,111.41095733642578,154.545166015625,110.877197265625,151.2412109375,112.18208312988281,1,malware
150.36328,111.91386,0.41400146484375,-0.3489002270818245,-1.6901744081776175,0.9785539018416245,-32.71167755126953,119.16767120361328,20.104360580444336,178.337890625,41.478904724121094,-7.010403156280518,165.71609497070312,11.059158325195312,155.70590209960938,-45.496707916259766,0.0,0.00286865234375,0.0101318359375,0.08441162109375,0.0614013671875,0.3572998046875,0.028076171875,0.019287109375,0.41522216796875,0.02130126953125,146.89990234375,112.26785278320312,150.521240234375,112.03150939941406,149.887451171875,112.31271362304688,154.14453125,110.91898345947266,1,malware
